,AICHI,AKT,APPLE,ARABBC,ARGENT,AUST,AUSTLA,BANBRA,BELG,BGARIA,BHREIN,BKTW,BNCE,BNDES,BOM,BRAZIL,BSNZPM,BTUN,BTUN-CentBank,CAF,CAMP,CCBC,CESP,CHILE,CHINA,CHINA-HKAA,CHINA-HongKong,CITMOS,COHL,COLOM,COSTAR,CROATI,CU,CYPRUS,CZECH,DBJI,DBR,DENK,DOMREP,DONEAG,DPWUAE,DUBGOV,EBPJSC,EGYPT,EIB,EIBC,EIBKOR,ELSALV,EMIABD,ESKHL,ESS,ESTONI,EXIM,FINL,FRTR,FUKCTY,FUKUPR,GAZPRU,GREECE,GUATEM,HAWAI,HIRCTY,HOKKA,HSH,HUNGRY,IBRD,ICBC,ICELND,IDBIBL,IGB,INDKOR,INDON,INSTCR,IRAQ,IRELND,IRFCI,ISRAEL,ITALY,JAMAN,JAPAN,JFC,JPEXHL,KAZAKS,KDB,KDICB,KFW,KIEV,KNBZMK,KNHC,KOBE,KOREA,KORELE,KORELE-KEWP,KORELE-KSP,KORELE-MidPo,KYOCTY,LATVIA,LAUSD,LAZIO,LBHAG,LEBAN,LITHUN,MALAYS,MALTA,MASSHT,MEX,MOROC,MTA,NAGCTY,NATPOW,NBAD,NCBK,NEGARA,NETHRS,NORWAY,NTPCL,NY,NZ,OMAN,OSACTY,OSAKA,PAKIS,PANAMA,PDV,PEMEX,PERU,PGNIG,PHILIP,PLNIJ,POLAND,PORTUG,POWFIN,PTTEXP-PTT,QATAR,QP,REPHUN,ROMANI,ROSNEF,RPGANA,RUSAGB,RUSSIA,SABIC,SAUDI,SAWK,SBCOR,SBIIN-StateBkIn,SDBCR,SHCLTD,SHIZUP,SICILY,SIGB,SLOVAK,SLOVEN,SOAF,SPAIN,SRBIA,SWED,SWISS,TAQA,TBYA,THAI,TOKYO,TRITOB,TURKEY,UAE,UKIN,UKRAIN,UKRBNK,URUGAY,USGB,VENZ,VIETNM,VTB,YOKOHA
6M,0.003997641,0.050544404,0.077770305,0.059337601,0.218109988,0.008947606,0.005497658,0.0079835,0.008947606,0.050544404,0.04746968,0.004997053,0.018464269,0.008249617,0.114659481,0.008099624,0.007901534,0.011899235,0.011581921,0.015925699,0.015916863,0.007619336,0.018464269,0.008249617,0.004997053,0.004612664,0.004997053,0.050544404,0.045610929,0.008099624,0.008070278,0.02204782,0.178310634,0.008947606,0.005537538,0.004612664,0.008947606,0.008947606,0.111751342,0.008947606,0.107683763,0.04746968,0.04746968,0.059427758,0.004799895,0.004534187,0.007619336,0.041408767,0.020706636,0.025922676,0.008947606,0.050544404,0.013146802,0.008947606,0.008947606,0.004107166,0.003997641,0.050544404,0.015916863,0.042328985,0.077770305,0.003997641,0.004997053,0.03562527,0.02204782,0.004799895,0.004612664,0.185289286,0.013146802,0.072647074,0.00820544,0.036488546,0.008947606,0.107683763,0.015916863,0.011154856,0.009251475,0.008947606,0.114235072,0.004107166,0.004508619,0.004107166,0.050544404,0.00820544,0.00820544,0.008947606,0.286287965,0.003997641,0.00820544,0.004997053,0.008889228,0.00820544,0.007619336,0.008889228,0.007619336,0.003997641,0.114659481,0.178310634,0.03562527,0.008947606,0.04746968,0.050544404,0.004158434,0.008947606,0.034745862,0.008249617,0.011581921,0.077770305,0.004283187,0.018365391,0.020706636,0.011564351,0.037746798,0.008947606,0.008947606,0.013146802,0.077770305,0.005208308,0.059337601,0.004262888,0.004345263,0.337967625,0.008129185,0.235407382,0.018464269,0.008249617,0.006921925,0.007111379,0.091969302,0.009850696,0.008947606,0.011154856,0.004481661,0.009251475,0.011564351,0.050544404,0.050544404,0.050544404,0.168527257,0.050544404,0.050544404,0.009251475,0.009251475,0.00688198,0.006666917,0.013146802,0.003932106,0.004997053,0.004135491,0.015916863,0.004441824,0.005537538,0.005537538,0.025922676,0.008947606,0.050544404,0.008947606,0.008947606,0.020706636,0.077770305,0.004128373,0.00416421,0.050357337,0.020706636,0.020706636,0.008947606,0.286287965,0.286287965,0.0409635,0.006510695,0.234830539,0.036488546,0.114659481,0.004283187
1Y,0.005403773,0.058766258,0.10730998,0.096694519,0.370942569,0.010616927,0.008264714,0.015000079,0.010616927,0.058766258,0.077189461,0.00675545,0.032883548,0.015501039,0.122250885,0.015218672,0.010669389,0.017170571,0.016711985,0.051886728,0.01886422,0.010288024,0.032883548,0.015501039,0.00675545,0.00623554,0.00675545,0.058766258,0.055009082,0.015218672,0.015163428,0.026938492,0.236738343,0.010616927,0.007235266,0.00623554,0.010616927,0.010616927,0.128876479,0.010616927,0.164178035,0.077189461,0.077189461,0.077037568,0.016280447,0.006129401,0.010288024,0.071016233,0.034995143,0.035161364,0.010616927,0.058766258,0.015064444,0.010616927,0.010616927,0.005551888,0.005403773,0.058766258,0.01886422,0.072607752,0.10730998,0.005403773,0.00675545,0.039367897,0.026938492,0.016280447,0.00623554,0.17615392,0.015064444,0.073318431,0.011080115,0.043979573,0.010616927,0.164178035,0.01886422,0.012780687,0.016517935,0.010616927,0.1317584,0.005551888,0.00609482,0.005551888,0.058766258,0.011080115,0.011080115,0.010616927,0.318630902,0.005403773,0.011080115,0.00675545,0.012004349,0.011080115,0.010288024,0.012004349,0.010288024,0.005403773,0.122250885,0.236738343,0.039367897,0.010616927,0.077189461,0.058766258,0.005621222,0.010616927,0.050835171,0.015501039,0.016711985,0.10730998,0.005789937,0.023245187,0.034995143,0.020657571,0.045500047,0.010616927,0.010616927,0.015064444,0.10730998,0.007829395,0.096694519,0.005762484,0.005873889,0.320193801,0.015274319,0.401849434,0.032883548,0.015501039,0.009045292,0.009601627,0.101943429,0.012856533,0.010616927,0.012780687,0.006058361,0.016517935,0.020657571,0.058766258,0.058766258,0.058766258,0.202504584,0.058766258,0.058766258,0.016517935,0.016517935,0.009291666,0.009001092,0.015064444,0.005315149,0.00675545,0.005590194,0.01886422,0.006004482,0.007235266,0.007235266,0.035161364,0.010616927,0.058766258,0.010616927,0.010616927,0.034995143,0.10730998,0.005580568,0.005629032,0.062995943,0.034995143,0.034995143,0.010616927,0.318630902,0.318630902,0.070246356,0.009502303,0.400814753,0.043979573,0.122250885,0.005789937
2Y,0.007076718,0.062604713,0.111507626,0.086901397,0.386236119,0.012333106,0.01118173,0.016785931,0.012333106,0.062604713,0.069408023,0.008848758,0.035999859,0.017347311,0.128157211,0.017030882,0.012789407,0.018315359,0.017825791,0.035515172,0.019872944,0.012331748,0.035999859,0.017347311,0.008848758,0.008167068,0.008848758,0.062604713,0.065698006,0.017030882,0.016968976,0.028470434,0.248379487,0.012333106,0.008545767,0.008167068,0.012333106,0.012333106,0.133489926,0.012333106,0.142195219,0.069408023,0.069408023,0.081093991,0.012805316,0.008027916,0.012331748,0.077965086,0.031545462,0.036793819,0.012333106,0.062604713,0.018509582,0.012333106,0.012333106,0.007270858,0.007076718,0.062604713,0.019872944,0.079722522,0.111507626,0.007076718,0.008848758,0.040841267,0.028470434,0.012805316,0.008167068,0.182165188,0.018509582,0.090861889,0.013282345,0.052461928,0.012333106,0.142195219,0.019872944,0.015699128,0.01530673,0.012333106,0.136486074,0.007270858,0.00798258,0.007270858,0.062604713,0.013282345,0.013282345,0.012333106,0.316023698,0.007076718,0.013282345,0.008848758,0.014391739,0.013282345,0.012331748,0.014391739,0.012331748,0.007076718,0.128157211,0.248379487,0.040841267,0.012333106,0.069408023,0.062604713,0.00736174,0.012333106,0.053820614,0.017347311,0.017825791,0.111507626,0.007582898,0.027473227,0.031545462,0.019142298,0.054284632,0.012333106,0.012333106,0.018509582,0.111507626,0.010591942,0.086901397,0.00754691,0.007692949,0.382964213,0.017093241,0.419472145,0.035999859,0.017347311,0.010685586,0.01150813,0.120497139,0.013819542,0.012333106,0.015699128,0.007934782,0.01530673,0.019142298,0.062604713,0.062604713,0.062604713,0.209249567,0.062604713,0.062604713,0.01530673,0.01530673,0.011136244,0.010787642,0.018509582,0.006960559,0.008848758,0.007321069,0.019872944,0.007864149,0.008545767,0.008545767,0.036793819,0.012333106,0.062604713,0.012333106,0.012333106,0.031545462,0.111507626,0.007308451,0.007371978,0.066500342,0.031545462,0.031545462,0.012333106,0.316023698,0.316023698,0.077115121,0.01101851,0.418355809,0.052461928,0.128157211,0.007582898
3Y,0.009133988,0.068872194,0.123845376,0.09413245,0.31273875,0.013782284,0.012759923,0.018284576,0.013782284,0.068872194,0.075059409,0.011426368,0.037373268,0.01889717,0.126332218,0.018551865,0.016384436,0.021023313,0.020459885,0.038851446,0.0220484,0.015796321,0.037373268,0.01889717,0.011426368,0.010544259,0.011426368,0.068872194,0.080004795,0.018551865,0.018484312,0.03190162,0.273707587,0.013782284,0.010073818,0.010544259,0.013782284,0.013782284,0.147540913,0.013782284,0.137161265,0.075059409,0.075059409,0.087372874,0.014764996,0.010364234,0.015796321,0.079170778,0.034771941,0.040394884,0.013782284,0.068872194,0.02027156,0.013782284,0.013782284,0.009385032,0.009133988,0.068872194,0.0220484,0.080961567,0.123845376,0.009133988,0.011426368,0.043252084,0.03190162,0.014764996,0.010544259,0.165553972,0.020271561,0.092826009,0.017018039,0.063706096,0.013782284,0.137161265,0.0220484,0.01718857,0.017635702,0.013782284,0.150908595,0.009385032,0.010305584,0.009385032,0.068872194,0.017018039,0.017018039,0.013782284,0.287290258,0.009133988,0.017018039,0.011426368,0.018444592,0.017018039,0.015796321,0.018444592,0.015796321,0.009133988,0.126332218,0.273707587,0.043252084,0.013782284,0.075059409,0.068872194,0.009502561,0.013782284,0.062278334,0.01889717,0.020459885,0.123845376,0.009788588,0.033865685,0.034771941,0.022067591,0.065944804,0.013782284,0.013782284,0.02027156,0.123845376,0.012085817,0.09413245,0.009742042,0.009930931,0.306331452,0.018619912,0.337523634,0.037373268,0.01889717,0.012600905,0.014738272,0.133919382,0.016170795,0.013782284,0.01718857,0.010243751,0.017635702,0.022067591,0.068872194,0.068872194,0.068872194,0.200500621,0.068872194,0.068872194,0.017635702,0.017635702,0.014260679,0.013813069,0.02027156,0.008983793,0.011426368,0.009449965,0.0220484,0.010152381,0.010073818,0.010073818,0.040394884,0.013782284,0.068872194,0.013782284,0.013782284,0.034771941,0.123845376,0.009433648,0.009515802,0.080596929,0.034771941,0.034771941,0.013782284,0.287290258,0.287290258,0.078304798,0.012792906,0.336697152,0.063706096,0.126332218,0.009788588
4Y,0.011219737,0.064352446,0.133601213,0.097269052,0.349287444,0.015024202,0.015854516,0.022618533,0.015024202,0.064352446,0.077461505,0.014044783,0.044585246,0.023380611,0.121233193,0.02295101,0.018583191,0.023391157,0.02276216,0.043122677,0.021795096,0.017914103,0.044585246,0.023380611,0.014044783,0.01295726,0.014044783,0.064352446,0.082059561,0.02295101,0.022866977,0.031982426,0.276728017,0.015024202,0.011620749,0.01295726,0.015024202,0.015024202,0.145486567,0.015024202,0.148235769,0.077461505,0.077461505,0.087081964,0.018554751,0.012735381,0.017914103,0.090018558,0.038090253,0.042908471,0.015024202,0.064352446,0.025138512,0.015024202,0.015024202,0.011528933,0.011219737,0.064352446,0.021795096,0.092089488,0.133601213,0.011219737,0.014044783,0.040265554,0.031982426,0.018554751,0.01295726,0.14248947,0.025138512,0.106045734,0.019304206,0.065259873,0.015024202,0.148235769,0.021795096,0.021295276,0.020179334,0.015024202,0.148809893,0.011528933,0.012663101,0.011528933,0.064352446,0.019304206,0.019304206,0.015024202,0.220814581,0.011219737,0.019304206,0.014044783,0.020928233,0.019304206,0.017914103,0.020928233,0.017914103,0.011219737,0.121233193,0.276728017,0.040265554,0.015024202,0.077461505,0.064352446,0.011673701,0.015024202,0.070119079,0.023380611,0.02276216,0.133601213,0.01202606,0.036732898,0.038090253,0.025272969,0.06756448,0.015024202,0.015024202,0.025138512,0.133601213,0.015013903,0.097269052,0.011968717,0.012201436,0.345316238,0.023035662,0.37941457,0.044585246,0.023380611,0.014543583,0.016710775,0.141558946,0.017068032,0.015024202,0.021295276,0.012586901,0.020179334,0.025272969,0.064352446,0.064352446,0.064352446,0.208567261,0.064352446,0.064352446,0.020179334,0.020179334,0.016167769,0.015658945,0.025138512,0.011034773,0.014044783,0.011608913,0.021795096,0.012474305,0.011620749,0.011620749,0.042908471,0.015024202,0.064352446,0.015024202,0.015024202,0.038090253,0.133601213,0.011588814,0.011690011,0.077543852,0.038090253,0.038090253,0.015024202,0.220814581,0.220814581,0.089017727,0.01554397,0.378400705,0.065259873,0.121233193,0.01202606
5Y,0.014109356,0.067437465,0.157188461,0.101156768,0.320847384,0.016992649,0.019125113,0.025367245,0.016992649,0.067437465,0.080399734,0.017681044,0.049692337,0.026226465,0.121820733,0.025742065,0.023611807,0.023256282,0.022630585,0.050961492,0.025058593,0.022755525,0.049692337,0.026226465,0.017681044,0.016305169,0.017681044,0.067437465,0.100651524,0.025742065,0.025647325,0.035839991,0.31147619,0.016992649,0.012940979,0.016305169,0.016992649,0.016992649,0.129120649,0.016992649,0.147251569,0.080399734,0.080399734,0.077241281,0.021711321,0.016024603,0.022755525,0.094061664,0.042298417,0.041981793,0.016992649,0.067437465,0.031260878,0.016992649,0.016992649,0.01449989,0.014109356,0.067437465,0.025058593,0.096250823,0.157188461,0.014109356,0.017681044,0.046555463,0.035839991,0.021711321,0.016305169,0.149559243,0.031260878,0.127381733,0.024535073,0.079521711,0.016992649,0.147251569,0.025058593,0.026443424,0.022515171,0.016992649,0.131958614,0.01449989,0.015933215,0.01449989,0.067437465,0.024535073,0.024535073,0.016992649,0.206538983,0.014109356,0.024535073,0.017681044,0.026616679,0.024535073,0.022755525,0.026616679,0.022755525,0.014109356,0.121820733,0.31147619,0.046555463,0.016992649,0.080399734,0.067437465,0.014682774,0.016992649,0.081387376,0.026226465,0.022630585,0.157188461,0.015127988,0.046844136,0.042298417,0.028229294,0.082402558,0.016992649,0.016992649,0.031260878,0.157188461,0.018106116,0.101156768,0.015055525,0.015349625,0.429651175,0.025837507,0.34661019,0.049692337,0.026226465,0.016205774,0.02121672,0.172017717,0.019174143,0.016992649,0.026443424,0.015836876,0.022515171,0.028229294,0.067437465,0.067437465,0.067437465,0.164036604,0.067437465,0.067437465,0.022515171,0.022515171,0.020522826,0.019872892,0.031260878,0.01387578,0.017681044,0.014600926,0.025058593,0.015694533,0.012940979,0.012940979,0.041981793,0.016992649,0.067437465,0.016992649,0.016992649,0.042298417,0.157188461,0.014575535,0.014703379,0.073597484,0.042298417,0.042298417,0.016992649,0.206538983,0.206538983,0.093004191,0.017663321,0.345749719,0.079521711,0.121820733,0.015127988
7Y,0.01213569,0.063858904,0.088655906,0.101391579,0.223661134,0.013785469,0.01482734,0.020749497,0.013785469,0.063858904,0.080505404,0.015201297,0.039517619,0.021446483,0.101982526,0.021053592,0.019674358,0.021376382,0.020803459,0.038663294,0.019631551,0.018964155,0.039517619,0.021446483,0.015201297,0.014020666,0.015201297,0.063858904,0.088957933,0.021053592,0.020976735,0.030262213,0.156638686,0.013785469,0.011437842,0.014020666,0.013785469,0.013785469,0.109277679,0.013785469,0.13246502,0.080505404,0.080505404,0.080571399,0.01762613,0.013779869,0.018964155,0.082167676,0.037734943,0.038141806,0.013785469,0.063858904,0.026107485,0.013785469,0.013785469,0.012471009,0.01213569,0.063858904,0.019631551,0.084032554,0.088655906,0.01213569,0.015201297,0.035319765,0.030262213,0.01762613,0.014020666,0.103211975,0.026107486,0.113205714,0.020439848,0.070475395,0.013785469,0.13246502,0.019631551,0.022106773,0.020393323,0.013785469,0.111483954,0.012471009,0.013701431,0.012471009,0.063858904,0.020439848,0.020439848,0.013785469,0.190994205,0.01213569,0.020439848,0.015201297,0.022164714,0.020439848,0.018964155,0.022164714,0.018964155,0.01213569,0.101982526,0.156638686,0.035319765,0.013785469,0.080505404,0.063858904,0.012628026,0.013785469,0.052274337,0.021446483,0.020803459,0.088655906,0.013010243,0.038059109,0.037734943,0.025548528,0.073000372,0.013785469,0.013785469,0.026107485,0.088655906,0.014042348,0.101391579,0.012948036,0.013200504,0.317855637,0.021131014,0.231488139,0.039517619,0.021446483,0.014314894,0.017687261,0.133421273,0.016497483,0.013785469,0.022106773,0.013618743,0.020393323,0.025548528,0.063858904,0.063858904,0.063858904,0.153215023,0.063858904,0.063858904,0.020393323,0.020393323,0.017111215,0.016571518,0.026107485,0.011935122,0.015201297,0.012557755,0.019631551,0.013496565,0.011437842,0.011437842,0.038141806,0.013785469,0.063858904,0.013785469,0.013785469,0.037734943,0.088655906,0.012535956,0.012645717,0.070600656,0.037734943,0.037734943,0.013785469,0.190994205,0.190994205,0.081266054,0.012478823,0.231267361,0.070475395,0.101982526,0.013010243
10Y,0.013313422,0.05551267,0.084811894,0.094539972,0.238848344,0.014494412,0.016254035,0.023583991,0.014494412,0.05551267,0.075387396,0.016695182,0.04370351,0.024384535,0.093241533,0.023933196,0.020207428,0.021907415,0.021318931,0.038244965,0.019179154,0.019476024,0.04370351,0.024384535,0.016695182,0.015391849,0.016695182,0.05551267,0.083045999,0.023933196,0.023844928,0.028178503,0.121438574,0.014494412,0.012007726,0.015391849,0.014494412,0.014494412,0.107574798,0.014494412,0.132357582,0.075387396,0.075387396,0.074249492,0.019457158,0.015126173,0.019476024,0.087823217,0.037336554,0.037450258,0.014494412,0.05551267,0.024381584,0.014494412,0.014494412,0.013682937,0.013313422,0.05551267,0.019179154,0.089871001,0.084811894,0.013313422,0.016695182,0.032815995,0.028178503,0.019457158,0.015391849,0.095392032,0.024381584,0.090364419,0.020995956,0.065989655,0.014494412,0.132357582,0.019179154,0.02066117,0.021035469,0.014494412,0.109703149,0.013682937,0.015039642,0.013682937,0.05551267,0.020995956,0.020995956,0.014494412,0.109864109,0.013313422,0.020995956,0.016695182,0.022773449,0.020995956,0.019476024,0.022773449,0.019476024,0.013313422,0.093241533,0.121438574,0.032815995,0.014494412,0.075387396,0.05551267,0.013855998,0.014494412,0.052998031,0.024384535,0.021318931,0.084811894,0.014277358,0.037481734,0.037336554,0.026373565,0.068325605,0.014494412,0.014494412,0.024381584,0.084811894,0.015389289,0.094539972,0.014208772,0.014487149,0.069985731,0.024022121,0.24920659,0.04370351,0.024384535,0.015036808,0.018161421,0.132073768,0.016120139,0.014494412,0.02066117,0.014948427,0.021035469,0.026373565,0.05551267,0.05551267,0.05551267,0.151161528,0.05551267,0.05551267,0.021035469,0.021035469,0.017568533,0.017013152,0.024381584,0.013092446,0.016695182,0.013778545,0.019179154,0.014813661,0.012007726,0.012007726,0.037450258,0.014494412,0.05551267,0.014494412,0.014494412,0.037336554,0.084811894,0.013754518,0.013875498,0.06472255,0.037336554,0.037336554,0.014494412,0.109864109,0.109864109,0.086834305,0.013525563,0.248892249,0.065989655,0.093241533,0.014277358
15Y,0.013954702,0.0508383,0.15301973,0.064440687,0.199748991,0.015927855,0.017853354,0.030536446,0.015927855,0.0508383,0.053960735,0.01752182,0.05232604,0.031609146,0.096685149,0.031004039,0.024856984,0.026877917,0.026138075,0.043449326,0.025546168,0.023937114,0.05232604,0.031609146,0.01752182,0.016145846,0.01752182,0.0508383,0.079808417,0.031004039,0.030885798,0.03071152,0.262513562,0.015927855,0.012126302,0.016145846,0.015927855,0.015927855,0.165025806,0.015927855,0.095589684,0.053960735,0.053960735,0.069402831,0.020368308,0.01586555,0.023937114,0.092464986,0.03445468,0.041736732,0.015927855,0.0508383,0.037293036,0.015927855,0.015927855,0.014343981,0.013954702,0.0508383,0.025546168,0.094714879,0.15301973,0.013954702,0.01752182,0.040445116,0.03071152,0.020368308,0.016145846,0.126427243,0.037293036,0.128790417,0.025850588,0.063596196,0.015927855,0.095589684,0.025546168,0.031323286,0.022116634,0.015927855,0.169610529,0.014343981,0.01577427,0.014343981,0.0508383,0.025850588,0.025850588,0.015927855,0.07055926,0.013954702,0.025850588,0.01752182,0.028097684,0.025850588,0.023937114,0.028097684,0.023937114,0.013954702,0.096685149,0.262513562,0.040445116,0.015927855,0.053960735,0.0508383,0.01452634,0.015927855,0.090600675,0.031609146,0.026138075,0.15301973,0.014970444,0.042105141,0.03445468,0.027781535,0.065822354,0.015927855,0.015927855,0.037293036,0.15301973,0.016895259,0.064440687,0.014898145,0.015191617,0.363199014,0.031123192,0.200962055,0.05232604,0.031609146,0.015191055,0.022287948,0.148083656,0.019398533,0.015927855,0.031323286,0.015678057,0.022116634,0.027781535,0.0508383,0.0508383,0.0508383,0.165681523,0.0508383,0.0508383,0.022116634,0.022116634,0.021545906,0.02085177,0.037293036,0.013721962,0.01752182,0.014444722,0.025546168,0.015535921,0.012126302,0.012126302,0.041736732,0.015927855,0.0508383,0.015927855,0.015927855,0.03445468,0.15301973,0.014419404,0.014546889,0.078483292,0.03445468,0.03445468,0.015927855,0.07055926,0.07055926,0.091380799,0.017143788,0.200963788,0.063596196,0.096685149,0.014970444
20Y,0.014276335,0.052978474,0.130951015,0.078489232,-0.162903181,0.015744914,0.019324778,0.025031078,0.015744914,0.052978474,0.063808041,0.0179507,0.043937623,0.025886007,0.071027519,0.025403941,0.022517303,0.020356127,0.019823027,0.04185026,0.021943138,0.021690708,0.043937623,0.025886007,0.0179507,0.016531922,0.0179507,0.052978474,0.068787797,0.025403941,0.025309684,0.032553551,0.061217707,0.015744914,0.013458921,0.016531922,0.015744914,0.015744914,0.029153387,0.015744914,0.0811202,0.063808041,0.063808041,0.041485928,0.021078403,0.016243132,0.021690708,0.063056555,0.03938889,0.032276215,0.015744914,0.052978474,0.029330919,0.015744914,0.015744914,0.014676741,0.014276335,0.052978474,0.021943138,0.064068359,0.130951015,0.014276335,0.0179507,0.036612425,0.032553551,0.021078403,0.016531922,0.041722061,0.029330919,0.072186186,0.023409666,0.056104223,0.015744914,0.0811202,0.021943138,0.024778346,0.022923124,0.015744914,0.026857777,0.014676741,0.016149102,0.014676741,0.052978474,0.023409666,0.023409666,0.015744914,0.067362692,0.014276335,0.023409666,0.0179507,0.025425989,0.023409666,0.021690708,0.025425989,0.021690708,0.014276335,0.071027519,0.061217707,0.036612425,0.015744914,0.063808041,0.052978474,0.014864358,0.015744914,0.075497123,0.025886007,0.019823027,0.130951015,0.015321398,0.040216386,0.03938889,0.028869521,0.057899464,0.015744914,0.015744914,0.029330919,0.130951015,0.018273916,0.078489232,0.015246981,0.01554908,-0.289544732,0.025498907,-0.194232669,0.043937623,0.025886007,0.016908499,0.020207646,0.06595344,0.01902527,0.015744914,0.024778346,0.016049999,0.022923124,0.028869521,0.052978474,0.052978474,0.052978474,-0.035544443,0.052978474,0.052978474,0.022923124,0.022923124,0.01953986,0.01891491,0.029330919,0.014037007,0.0179507,0.014780383,0.021943138,0.015903609,0.013458921,0.013458921,0.032276215,0.015744914,0.052978474,0.015744914,0.015744914,0.03938889,0.130951015,0.014754335,0.014885502,0.049706749,0.03938889,0.03938889,0.015744914,0.067362692,0.067362692,0.062557384,0.016721651,-0.193233014,0.056104223,0.071027519,0.015321398
30Y,0.011910085,0.048837814,0.062667319,0.039700925,0.07594306,0.019362722,0.015814109,0.026887514,0.019362722,0.048837814,0.038073745,0.014880908,0.047242355,0.027832383,0.060813365,0.027299324,0.017933373,0.023703683,0.023056559,0.038412043,0.027436561,0.017311721,0.047242355,0.027832383,0.014880908,0.013738649,0.014880908,0.048837814,0.028073787,0.027299324,0.02719518,0.032835109,-0.053857355,0.019362722,0.013915179,0.013738649,0.019362722,0.019362722,0.107024951,0.019362722,0.019061359,0.038073745,0.038073745,0.052180305,0.020527067,0.01350539,0.017311721,0.062916429,0.031706947,0.038271645,0.019362722,0.048837814,0.024955588,0.019362722,0.019362722,0.012235803,0.011910085,0.048837814,0.027436561,0.063879203,0.062667319,0.011910085,0.014880908,0.047580212,0.032835109,0.020527067,0.013738649,0.107149564,0.024955588,0.025479633,0.018600945,0.028752008,0.019362722,0.019061359,0.027436561,0.021268437,0.019694722,0.019362722,0.10891282,0.012235803,0.013429386,0.012235803,0.048837814,0.018600945,0.018600945,0.019362722,0.066953421,0.011910085,0.018600945,0.014880908,0.020095546,0.018600945,0.017311721,0.020095546,0.017311721,0.011910085,0.060813365,-0.053857355,0.047580212,0.019362722,0.038073745,0.048837814,0.012388259,0.019362722,0.059246944,0.027832383,0.023056559,0.062667319,0.012759203,0.0290261,0.031706947,0.024575566,0.028898896,0.019362722,0.019362722,0.024955588,0.062667319,0.014981128,0.039700925,0.012698847,0.012943762,-0.000406236,0.027404277,0.082727874,0.047242355,0.027832383,0.017524968,0.016188586,-0.007905152,0.019473808,0.019362722,0.021268437,0.013349253,0.019694722,0.024575566,0.048837814,0.048837814,0.048837814,0.059770592,0.048837814,0.048837814,0.019694722,0.019694722,0.015679654,0.015201588,0.024955588,0.011715171,0.014880908,0.012320034,0.027436561,0.01323083,0.013915179,0.013915179,0.038271645,0.019362722,0.048837814,0.019362722,0.019362722,0.031706947,0.062667319,0.012298868,0.012405433,0.072568845,0.031706947,0.031706947,0.019362722,0.066953421,0.066953421,0.06244012,0.015101397,0.082492702,0.028752008,0.060813365,0.012759203
