Date,Days,Rate,Discount
42919,3,1.1760542694034,0.9999033426769
42922,6,1.2272703100132,0.9997982772841
42928,12,1.252878330318,0.9995881796168
42954,38,1.2283323762936,0.9987220055423
42983,67,1.3341782660157,0.9975539568939
42998,82,1.3551481878032,0.9969601871116
43013,97,1.3580575074938,0.9963974205819
43089,173,1.3650443592519,0.9935509486939
43105,189,1.3756296330824,0.9929021860078
43179,263,1.4078332156818,0.9899071646735
43195,279,1.4173573848091,0.9892244300554
43272,356,1.4512186820344,0.985945349805
43286,370,1.458818509133,0.9853207825712
43363,447,1.4921081320838,0.9818927282211
43472,556,1.5268079285463,0.977010698209
43651,735,1.6013531491184,0.9682679458666
43836,920,1.6663353131317,0.9588690321793
44018,1102,1.7349883370214,0.9489659246527
44201,1285,1.7889952870389,0.9389599646694
44383,1467,1.8480107799611,0.928416488862
44566,1650,1.8967707439208,0.9178287699307
44747,1831,1.9494877396778,0.906834921202
44931,2015,1.9878676764972,0.8960660177757
45112,2196,2.0294069675238,0.8850616112225
45296,2380,2.0683679316505,0.8738304435461
45478,2562,2.1093312418732,0.8623813401228
45663,2747,2.1371504307845,0.8514261372289
45845,2929,2.1674798595058,0.8403533373814
46027,3111,2.195255309313,0.8293542233921
46209,3293,2.2258292446622,0.8180658167802
46392,3476,2.2542186783232,0.8068030202023
46574,3658,2.2850810216617,0.7953214218347
46757,3841,2.3003512410255,0.7849992013868
46939,4023,2.3170724424922,0.7746175772159
47123,4207,2.3327922226155,0.7642362799337
47304,4388,2.3503032970413,0.7538577942033
47490,4574,2.366527029758,0.7433699109691
47669,4753,2.3840413384782,0.7331185162446
47854,4938,2.4004697616588,0.7227051433105
48036,5120,2.4184855456331,0.7123039410454
48218,5302,2.4349147909423,0.7020880962248
48401,5485,2.4527029672517,0.6917176557794
48584,5668,2.4596920541217,0.6825224552258
48765,5849,2.4681196288383,0.6733380865435
48949,6033,2.4753673699274,0.6642161150281
49130,6214,2.483932065557,0.6551566395774
49314,6398,2.491380524375,0.6461598950478
49495,6579,2.500078847436,0.6372261579854
49681,6765,2.507813231752,0.6282580507841
49863,6947,2.5162815885853,0.6194515603531
50045,7129,2.5240140397651,0.6108047218585
50227,7311,2.5330321218783,0.602077078846
50410,7494,2.5344676086503,0.5943039496987
50592,7676,2.537000976853,0.5865280530319
50775,7859,2.5385693058001,0.5789192799744
50956,8040,2.541171707943,0.5713496058915
51140,8224,2.5428754866447,0.5638606319774
51322,8406,2.5452535681633,0.5564514335094
51508,8592,2.5471059152401,0.5490412223327
51687,8771,2.5498326102062,0.5418704820241
51872,8956,2.5517750081768,0.5346576282168
52054,9138,2.5546148180348,0.5275226019134
52236,9320,2.5543135829924,0.5208856575505
52418,9502,2.5548788904016,0.5142177466146
52601,9685,2.554663720315,0.507701922313
52783,9867,2.5550161648111,0.5012279106739
52967,10051,2.5548839957962,0.4948314616338
53148,10232,2.5555438144941,0.4885114118121
53332,10416,2.5554822443857,0.4822668834736
53513,10597,2.556182100116,0.4760972220181
53699,10783,2.5561930000324,0.4699342716429
53878,10962,2.5569224181874,0.4639783638466
54063,11147,2.5542556085355,0.4583772862447
54245,11329,2.5520815924181,0.4528817730256
54428,11512,2.5494895760763,0.4474895795807
54610,11694,2.5475576658797,0.4421104246916
54793,11877,2.5450089343989,0.4368615581606
54974,12058,2.5431071606944,0.4316539181382
55158,12242,2.5405862730402,0.4265158816984
55339,12423,2.5387004540735,0.4214465371582
55523,12607,2.5362130987159,0.4164449263512
55705,12789,2.5341418747462,0.4115101242922
55890,12974,2.5316760633884,0.4066146049205
56072,13156,2.5298055059019,0.4017846871467
56254,13338,2.5273972487434,0.3970975645018
56436,13520,2.5255339236606,0.3923953339534
56619,13703,2.5231372865232,0.3878068193169
56801,13885,2.5212790602159,0.3832291426725
56984,14068,2.5189016702057,0.3787621613112
57166,14250,2.5168796369582,0.3743300468511
57350,14434,2.5145110357887,0.3699569779534
57531,14615,2.5126688727443,0.3656421512319
57717,14801,2.5096003361234,0.361439675037
57896,14980,2.5070994929286,0.3573851929731
58081,15165,2.504055967188,0.3533190516704
58263,15347,2.5015099319372,0.3493086868281
58445,15529,2.4985175328357,0.3454182013272
58628,15712,2.4958079892039,0.3415163013777
58811,15895,2.4928097417028,0.3377101079165
58992,16076,2.4902682072264,0.3339347596082
59176,16260,2.4872613497787,0.3302108717761
59357,16441,2.4847106602796,0.3265379888214
59541,16625,2.4817059412131,0.3229150277776
59722,16806,2.479146788289,0.319341482118
59908,16992,2.4761141033907,0.315777978014
60090,17174,2.4734002268586,0.312301681635
60272,17356,2.4704260070375,0.3089102531744
60454,17538,2.4678311537458,0.3055090227546
60637,17721,2.464839392513,0.3021908802302
60819,17903,2.4622328033013,0.2988814341883
61002,18086,2.4592367100198,0.2956530519555
61183,18267,2.4566302517177,0.2924506601427
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
